Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Челябинская область,Агаповский район,Поселок,Харьковский,"Челябинская область, Агаповский район, п. Харьковский, ул. Центральная, 2","53.220395","59.10566",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Солодянка,"Челябинская область, Агаповский район, п. Солодянка, пер. Сиреневый, 12","53.459591","59.442906",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Аблязово,"Челябинская область, Агаповский район, п. Аблязово, ул. Центральная, 18/3","53.221306","59.177193",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Малиновка,"Челябинская область, Агаповский район, п. Малиновка, ул. Клубная, 5","53.309957","59.269181",ФАП,./0.png
Челябинская область,Агаповский район,Село,Верхнекизильское,"Челябинская область, Агаповский район, с. Верхнекизильское, ул. Советская, 39","53.5392","59.074372",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Южный,"Челябинская область, Агаповский район, п. Южный, ул. Садовая, 8","53.120475","59.455545",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Ржавка,"Челябинская область, Агаповский район, п. Ржавка, ул. Пионерская, 6","53.603253","59.055867",ФАП,./0.png
Челябинская область,Чесменский район,Поселок,Цвиллинга,"Челябинская область, Чесменский район, п. Цвиллинга, ул. Победы, 3","53.841397","61.175109",ФАП,./0.png
Челябинская область,Карталинский район,Поселок,Мичуринский,"Челябинская область, Карталинский район, п. Мичуринский, ул. Школьная, 22","53.108898","60.756252",ФАП,./0.png
Челябинская область,Карталинский район,Село,Татищево,"Челябинская область, Карталинский район, с. Татищево, ул. Пушкина, 12 а","53.359109","60.376651",ФАП,./0.png
Челябинская область,Чесменский район,Поселок,Зеленая Долина,"Челябинская область, Чесменский район, п. Зеленая Долина, ул. Ленина, 22","53.840021","60.142163",ФАП,./0.png
Челябинская область,Красноармейский район,Деревня,Якупово,"Челябинская область, Красноармейский район, д. Якупово, ул. Центральная, 43","55.346538","62.154435",ФАП,./0.png
Челябинская область,Верхнеуральский район,Село,Новоахуново,"Челябинская область, Верхнеуральский район, с. Новоахуново, ул. Школьная, 4","53.952459","59.264348",ФАП,./0.png
Челябинская область,Карталинский район,Поселок,Варшавка,"Челябинская область, Карталинский район, п. Варшавка, пер. Некрасовский, 7","52.846866","60.336828",ФАП,./0.png
Челябинская область,Карталинский район,Поселок,Акмулла,"Челябинская область, Карталинский район, п. Акмулла, ул. Карла Маркса, 23","53.032702","60.149449",ФАП,./0.png
Челябинская область,Златоустовский городской округ,Поселок,Тайнак,"Челябинская область, Златоустовский городской округ, п. Тайнак, ул. Солнечная, 3 а","55.139499","59.347963",ФАП,./0.png
Челябинская область,Октябрьский район,Деревня,Александровка (Каракульское сельское поселение),"Челябинская область, Октябрьский район, д. Александровка (Каракульское сельское поселение), ул. Молодежная, 9","54.050699","62.536111",ФАП,./0.png
Челябинская область,Ашинский район,Село,Илек,"Челябинская область, Ашинский район, с. Илек, ул. Курчатова, 39","55.228875","58.001262",ФАП,./0.png
Челябинская область,Аргаяшский район,Село,Губернское,"Челябинская область, Аргаяшский район, с. Губернское, ул. Парижской Коммуны, 5","55.48147","60.608362",ФАП,./0.png
Челябинская область,Каслинский район,Село,Шабурово,"Челябинская область, Каслинский район, с. Шабурово, ул. Ленина, 57","56.214347","61.237542",ФАП,./0.png
Челябинская область,Октябрьский район,Село,Боровое,"Челябинская область, Октябрьский район, с. Боровое, ул. Советская, 10","54.656933","62.302863",ФАП,./0.png
Челябинская область,Октябрьский район,Деревня,Уйско-Чебаркульская,"Челябинская область, Октябрьский район, д. Уйско-Чебаркульская, ул. Школьная, 8","54.096092","62.650179",ФАП,./0.png
Челябинская область,Октябрьский район,Село,Ваганово,"Челябинская область, Октябрьский район, с. Ваганово, ул. 1 Мая, 45","54.498957","62.32153",ФАП,./0.png
Челябинская область,Октябрьский район,Деревня,Лебедки,"Челябинская область, Октябрьский район, д. Лебедки, ул. Мира, 25","54.457238","62.844781",ФАП,./0.png
