Кратк,Субъе,Вид д�,Широт,Долго,Насел,Регио,Округ,icon_url
филиал «ДР» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.214977","87.69669",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
ООО «Медицина»,Кемеровская область,Больница (в том числе детская),"53.898045","86.64257",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КОДКБ им. Ю.А. АТАМАНОВА,Кемеровская область,Больница (в том числе детская),"55.333153","86.16652",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
"Новокузнецкий филиал ГБУЗ ""КККД""",Кемеровская область,Больница (в том числе детская),"53.744152","87.14349",Центральный,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУ НАТМ,Кемеровская область,Бюро,"53.754013","87.13461",Центральный,Кемеровская область,Сибирский федеральный округ,./0.png
ООО «Эксперт»,Кемеровская область,Больница (в том числе детская),"53.749767","87.13076",Центральный,Кемеровская область,Сибирский федеральный округ,./0.png
ООО Поликлиника «Центр медицинских осмотров»,Кемеровская область,"Амбулатория, в том числе врачебная","55.351135","86.1373",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ООО «МЦ РОДНИК»,Кемеровская область,"Амбулатория, в том числе врачебная","55.36132","86.07365",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ООО «Сеть клиник Здоровье»,Кемеровская область,"Амбулатория, в том числе врачебная","54.40821","86.30786",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
НИИ КПГПЗ,Кемеровская область,,"53.74988","87.12823",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ОТ «КПАБ»,Кемеровская область,Бюро,"53.75473","87.13317",Центральный,Кемеровская область,Сибирский федеральный округ,./0.png
"ООО ""Визус-2""",Кемеровская область,"Амбулатория, в том числе врачебная","55.343662","86.16927",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ ПГБ,Кемеровская область,Больница (в том числе детская),"53.898045","86.64257",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
